Title (with clickable link),Speaker - Last Name,Speaker - First Name,Keyword,Date of Presentation
"<a href=""https://youtu.be/hub49Xmt-Eg"" target=""_blank"">Mild Cognitive Impairment and Dementia</a>","MacDonald, MD",Steve,Neurology,4/9/25
"<a href=""https://youtu.be/Bu6tTVdtIj8"" target=""_blank"">An Update on Metabolic Dysfunction Associated Streatotic Liver Disease - MASLD</a>","Kwon, MD",Hellan,Liver Disease,4/9/25
"<a href=""https://youtu.be/7rmQgEmh8KI"" target=""_blank"">Cannabis and Cannabis Use Disorder</a>","Frank, MD, PhD",Chris,Cannabis,4/9/25
"<a href=""https://youtu.be/Ml5m4OkeKRU"" target=""_blank"">Serious Illness Communication for the Primary Care Provider</a>","Ernst, MD",Emma,Communication,4/23/25
"<a href=""https://youtu.be/DxD6FFmkSdc"" target=""_blank"">MCAS, POTS, hEDS: Are they related?</a>","Greenblatt, MD",Melissa,Allergy,4/23/25
"<a href=""https://youtu.be/MsuTEVYNV2U"" target=""_blank"">POCUS in Primary Care: Tools for Clinical Care</a>","Gutierrez, MD",Laurel,POCUS,4/23/25
"<a href=""https://youtu.be/giPh6pNAjuE"" target=""_blank"">Diagnostic Stewardship in the Evaluation of Fatigue</a>","White-Manigault, MD, MPH",Ebony,Fatigue,4/30/25
"<a href=""https://youtu.be/jTTrOYjoPj4"" target=""_blank"">Identification of Autism Spectrum Disorders</a>","Shah, MD, MS, FAAP",Prachi,Autism,4/30/25
"<a href=""https://youtu.be/EjjxXQuompI"" target=""_blank"">Pain Management for IUD Insertion</a>","Nagarsheth, MD, MA",Meera,Pain,4/30/25
"<a href=""https://youtu.be/A3w4raLf4SQ"" target=""_blank"">Multiple Sclerosis</a>","Gupta, MD",Preeta,Neurology,5/14/25
"<a href=""https://youtu.be/FA3EoZBd3vc"" target=""_blank"">All of Us and The Necessity of Action</a>","Crichlow, MD",Renee,Advocacy,5/14/25
"<a href=""https://youtu.be/BJKW_ZZYe-k"" target=""_blank"">Management of Anxiety and Depression in Oncology: An Integrative Approach</a>","Huston, MD",Alissa,Integrative Medicine,6/11/25
"<a href=""https://youtu.be/HQp_eJA_ie4"" target=""_blank"">Breathe Easy: Mastering Pediatric Asthma Management</a>","Essoh, MBBS",Saly,Asthma,6/11/25
"<a href=""https://youtu.be/mWdehQw8Z_4"" target=""_blank"">The Threat of Measles & Other Vaccine-Preventable Diseases 2025</a>","Rockwell, MD",Pamela,Vaccines,6/11/25
"<a href=""https://youtu.be/tSrAUNqvEZs"" target=""_blank"">Screening for Heart Failure in Adult Diabetics</a>","Fenske, MD, Wyckoff, MD","Jill, Jennifer","Diabetes, Cardiac",7/9/25
"<a href=""https://youtu.be/JWADxhJEkIU"" target=""_blank"">Michigan Medicine and Dementia Care: Hospital Readmission</a>","Mahmoudi, PhD",Elham,Dementia,7/9/25
"<a href=""https://youtu.be/5jLaxwNhjHI"" target=""_blank"">Overview of Cardiac Stress Testing</a>","Joseph, MD",Megan,Cardiac,7/9/25
"<a href=""https://youtu.be/A-nNWpZWUQg"" target=""_blank"">Some 1st Trimetster POCUS</a>","Mgudem, MD",Chidera,POCUS,8/13/25
"<a href=""https://youtu.be/1ykgO0T_BDs"" target=""_blank"">Ketamine for Pain</a>","Duong, MD",Susan,Pain,8/13/25
"<a href=""https://youtu.be/keLiaGo1y_M"" target=""_blank"">Update on Gun Violence Prevention Efforts: A Clinician's Perspective</a>","Peggs, MD, Zazove, MD","Jim, Philip",Advocacy,8/13/25
"<a href=""https://youtu.be/0XtjoL84WG8"" target=""_blank"">SODA 2025 Morning</a>",,,,9/10/25
"<a href=""https://youtu.be/xUNr0tOVOvU"" target=""_blank"">Low Dose Radiation Therapy for Osteoarthritis</a>","Hristov, MD",Boris,Radiology,10/8/25
"<a href=""https://youtu.be/1ZIH4qZ2TKo"" target=""_blank"">Straight Talk: Enhancing Communication Through Style Awareness</a>",Connolly,Jessica,Communication,10/8/25
"<a href=""https://youtu.be/IbeNwee5Zps"" target=""_blank"">Health Disparities in Arab-Americans</a>","Haidar, MD",J. Aseel,DEI,10/22/25
